70.622 0.950243 6.3717 4.76634
72.1142 1.50688 5.27349 4.01634
72.3017 1.1458 5.38165 4.48119
71.8564 2.55962 5.76416 4.27117
69.5946 1.16094 5.77032 3.54152
70.6142 0.104784 3.49939 4.41353
68.6298 -0.347608 3.28979 3.50539
69.6923 2.37017 3.53149 2.15065
70.0478 0.805712 3.33374 4.33675
68.661 -0.324171 3.95843 3.6183
67.5087 -1.73628 2.28784 2.04232
67.2548 -1.15864 3.15057 1.83397
66.6064 -0.576612 2.26092 1.85305
65.1923 -0.0780771 2.83538 2.50304
63.9267 -1.60176 2.07562 2.06514
62.9814 -2.03755 2.15582 0.0720392
62.3407 -0.4438 0.823666 2.23574
60.8485 -2.01436 1.53167 0.844042
61.8525 -0.666456 1.16784 1.44173
58.7665 -1.74653 1.37487 1.27031
59.2939 0.103563 1.96484 -0.127576
58.0907 -0.744581 1.64868 -0.633954
57.5009 0.0249502 0.958248 -0.0997747
57.536 -0.46089 1.52032 0.741961
56.2509 -1.11348 0.603207 -0.0644964
55.2548 -2.2895 0.33514 -1.72099
53.8915 -1.44136 0.354794 -0.679212
54.7196 -0.989942 0.8941 -0.0180181
51.9892 -0.572218 -0.659061 1.4102
51.2314 -0.715284 1.48199 -0.0308966
52.1571 0.330126 0.650814 0.342669
52.0282 -0.103468 1.67816 0.370898
51.3368 2.29741 -0.0524938 -1.19636
50.6298 0.973925 0.184017 0.418627
51.6532 1.57744 0.716549 -0.271619
51.8173 2.15142 0.538021 -0.236738
52.5595 4.99687 -0.753788 0.693804
50.8446 2.61382 0.321163 -0.528943
52.0673 4.99492 -0.139469 0.128924
52.2314 5.30181 -0.532291 -0.445539
54.7079 5.34868 -0.277103 -1.03532
53.8564 4.73345 -0.270878 0.749438
55.2782 6.93657 -1.12744 -0.22389
54.6064 4.75664 0.451046 -0.577527
55.0048 7.55766 0.62341 -0.360425
55.0634 7.56328 1.99798 -0.224714
54.3485 7.26836 3.35553 -0.54347
55.3642 6.22344 3.54596 0.196978
55.2157 4.99907 5.34857 -1.34578
55.6376 2.84892 4.79376 -1.94221
57.3798 5.3272 8.06561 -3.0002
57.3564 4.09477 7.47668 -2.66566
56.4735 2.61162 8.42169 -3.50407
59.3876 0.838915 9.4273 -3.29612
58.6064 0.818651 9.24719 -5.84376
60.6845 -0.253614 10.2222 -6.84654
58.9579 -2.30537 9.50079 -5.12861
58.3134 -2.80317 11.1662 -7.4496
58.0634 -1.91426 11.1621 -7.32094
55.4032 -1.96333 11.2961 -5.90394
53.6376 -3.27559 10.2321 -6.63151
49.3993 -3.62715 10.8065 -5.02733
